rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,29480,2026-03-23T06:54:42Z,0,29480,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,28164,2026-03-23T07:00:25Z,0,28164,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,23902,2026-03-23T06:23:53Z,0,23902,HEAD
4,oraios/serena,github,https://github.com/oraios/serena,21939,2026-03-23T05:17:30Z,0,21939,HEAD
5,activepieces/activepieces,github,https://github.com/activepieces/activepieces,21375,2026-03-23T06:47:14Z,0,21375,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,13863,2026-03-23T06:24:09Z,0,13863,HEAD
7,googleapis/genai-toolbox,github,https://github.com/googleapis/genai-toolbox,13495,2026-03-23T05:26:06Z,0,13495,HEAD
8,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11300,2026-03-23T03:42:26Z,0,11300,HEAD
9,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,10872,2026-03-23T06:39:18Z,0,10872,HEAD
10,awslabs/mcp,github,https://github.com/awslabs/mcp,8540,2026-03-23T03:22:37Z,0,8540,HEAD
11,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,8013,2026-03-23T06:57:46Z,0,8013,HEAD
12,idosal/git-mcp,github,https://github.com/idosal/git-mcp,7816,2026-03-23T06:51:57Z,0,7816,HEAD
13,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,7619,2026-03-23T05:15:38Z,0,7619,HEAD
14,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,7017,2026-03-23T06:45:45Z,0,7017,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6134,2026-03-23T06:32:22Z,0,6134,HEAD
