rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,30733,2026-04-13T07:50:10Z,0,30733,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,28809,2026-04-13T07:44:33Z,0,28809,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,24499,2026-04-13T07:54:44Z,0,24499,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,21687,2026-04-13T07:09:43Z,0,21687,HEAD
5,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,14505,2026-04-13T07:53:42Z,0,14505,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,14298,2026-04-13T07:20:28Z,0,14298,HEAD
7,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11415,2026-04-13T07:38:56Z,0,11415,HEAD
8,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11192,2026-04-13T06:44:57Z,0,11192,HEAD
9,awslabs/mcp,github,https://github.com/awslabs/mcp,8753,2026-04-13T05:29:38Z,0,8753,HEAD
10,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,8353,2026-04-13T06:52:33Z,0,8353,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,8042,2026-04-13T07:53:19Z,0,8042,HEAD
12,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7960,2026-04-13T07:11:21Z,0,7960,HEAD
13,idosal/git-mcp,github,https://github.com/idosal/git-mcp,7908,2026-04-13T06:55:14Z,0,7908,HEAD
14,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,7520,2026-04-13T06:20:43Z,0,7520,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6301,2026-04-13T07:14:21Z,0,6301,HEAD
16,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6029,2026-04-13T07:37:26Z,0,6029,HEAD
17,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,5885,2026-04-13T06:17:10Z,0,5885,HEAD
18,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5499,2026-04-12T19:16:03Z,0,5499,HEAD
19,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5171,2026-04-13T07:44:13Z,0,5171,HEAD
20,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5096,2026-04-13T07:50:52Z,0,5096,HEAD
21,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,4910,2026-04-13T06:59:39Z,0,4910,HEAD
22,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4753,2026-04-12T14:16:34Z,0,4753,HEAD
23,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,4709,2026-04-13T01:01:42Z,0,4709,HEAD
24,u14app/deep-research,github,https://github.com/u14app/deep-research,4556,2026-04-13T06:33:13Z,0,4556,HEAD
25,epiral/bb-browser,github,https://github.com/epiral/bb-browser,4412,2026-04-13T07:33:16Z,0,4412,HEAD
26,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4231,2026-04-13T07:43:08Z,0,4231,HEAD
27,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4207,2026-04-13T06:43:07Z,0,4207,HEAD
28,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4111,2026-04-12T18:57:21Z,0,4111,HEAD
29,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,3952,2026-04-12T22:18:50Z,0,3952,HEAD
30,leerob/directories,github,https://github.com/leerob/directories,3914,2026-04-12T18:40:06Z,0,3914,HEAD
31,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3738,2026-04-13T05:21:33Z,0,3738,HEAD
32,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3677,2026-04-13T05:11:11Z,0,3677,HEAD
33,opensumi/core,github,https://github.com/opensumi/core,3624,2026-04-11T23:02:46Z,0,3624,HEAD
34,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3605,2026-04-13T07:09:59Z,0,3605,HEAD
35,laravel/boost,github,https://github.com/laravel/boost,3395,2026-04-12T14:14:32Z,0,3395,HEAD
36,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,3323,2026-04-13T06:08:17Z,0,3323,HEAD
37,browserbase/mcp-server-browserbase,github,https://github.com/browserbase/mcp-server-browserbase,3253,2026-04-13T02:20:57Z,0,3253,HEAD
38,steipete/Peekaboo,github,https://github.com/steipete/Peekaboo,3112,2026-04-13T07:08:49Z,0,3112,HEAD
39,punkpeye/fastmcp,github,https://github.com/punkpeye/fastmcp,3037,2026-04-13T01:50:03Z,0,3037,HEAD
40,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,3024,2026-04-13T04:26:18Z,0,3024,HEAD
41,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,2929,2026-04-13T06:44:02Z,0,2929,HEAD
42,grafana/mcp-grafana,github,https://github.com/grafana/mcp-grafana,2785,2026-04-12T10:46:15Z,0,2785,HEAD
43,Jpisnice/shadcn-ui-mcp-server,github,https://github.com/Jpisnice/shadcn-ui-mcp-server,2747,2026-04-13T06:35:25Z,0,2747,HEAD
44,bytebase/dbhub,github,https://github.com/bytebase/dbhub,2559,2026-04-13T02:00:55Z,0,2559,HEAD
45,blazickjp/arxiv-mcp-server,github,https://github.com/blazickjp/arxiv-mcp-server,2528,2026-04-13T07:24:56Z,0,2528,HEAD
46,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,2483,2026-04-13T07:07:57Z,0,2483,HEAD
47,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,2365,2026-04-13T07:38:36Z,0,2365,HEAD
48,brightdata/brightdata-mcp,github,https://github.com/brightdata/brightdata-mcp,2288,2026-04-12T11:01:00Z,0,2288,HEAD
49,homeassistant-ai/ha-mcp,github,https://github.com/homeassistant-ai/ha-mcp,2234,2026-04-13T07:02:06Z,0,2234,HEAD
50,jamubc/gemini-mcp-tool,github,https://github.com/jamubc/gemini-mcp-tool,2151,2026-04-13T05:33:58Z,0,2151,HEAD
