rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,33622,2026-06-08T10:02:47Z,0,33622,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,30513,2026-06-08T10:01:02Z,0,30513,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25538,2026-06-08T10:00:59Z,0,25538,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22630,2026-06-08T09:58:13Z,0,22630,HEAD
5,chopratejas/headroom,github,https://github.com/chopratejas/headroom,17594,2026-06-08T10:26:01Z,0,17594,HEAD
6,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15508,2026-06-08T10:03:43Z,0,15508,HEAD
7,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15029,2026-06-08T09:39:08Z,0,15029,HEAD
8,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11864,2026-06-08T07:03:45Z,0,11864,HEAD
9,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11589,2026-06-08T09:20:21Z,0,11589,HEAD
10,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,9425,2026-06-08T10:20:53Z,0,9425,HEAD
11,awslabs/mcp,github,https://github.com/awslabs/mcp,9231,2026-06-08T10:00:45Z,0,9231,HEAD
12,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9160,2026-06-08T10:17:46Z,0,9160,HEAD
13,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8458,2026-06-08T09:22:08Z,0,8458,HEAD
14,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8153,2026-06-08T00:16:54Z,0,8153,HEAD
15,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7990,2026-06-08T09:12:55Z,0,7990,HEAD
16,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6640,2026-06-08T07:47:58Z,0,6640,HEAD
17,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6517,2026-06-08T07:14:39Z,0,6517,HEAD
18,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6129,2026-06-08T07:30:30Z,0,6129,HEAD
19,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,5950,2026-06-08T10:14:53Z,0,5950,HEAD
20,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5902,2026-06-08T09:37:58Z,0,5902,HEAD
21,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5862,2026-06-08T09:02:59Z,0,5862,HEAD
22,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5748,2026-06-08T07:03:31Z,0,5748,HEAD
23,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5729,2026-06-08T06:47:54Z,0,5729,HEAD
24,epiral/bb-browser,github,https://github.com/epiral/bb-browser,5711,2026-06-08T09:52:56Z,0,5711,HEAD
25,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5344,2026-06-08T07:03:57Z,0,5344,HEAD
26,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,5017,2026-06-08T10:10:01Z,0,5017,HEAD
27,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4798,2026-06-08T01:08:51Z,0,4798,HEAD
28,jacob-bd/notebooklm-mcp-cli,github,https://github.com/jacob-bd/notebooklm-mcp-cli,4784,2026-06-08T10:01:52Z,0,4784,HEAD
29,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4668,2026-06-08T10:20:10Z,0,4668,HEAD
30,u14app/deep-research,github,https://github.com/u14app/deep-research,4603,2026-06-08T09:16:28Z,0,4603,HEAD
31,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4552,2026-06-08T10:24:38Z,0,4552,HEAD
32,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4403,2026-06-07T22:47:32Z,0,4403,HEAD
33,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4216,2026-06-08T06:41:26Z,0,4216,HEAD
34,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,4208,2026-06-08T10:13:32Z,0,4208,HEAD
35,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4141,2026-06-08T07:06:12Z,0,4141,HEAD
36,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,4069,2026-06-08T09:57:46Z,0,4069,HEAD
37,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3908,2026-06-08T08:59:40Z,0,3908,HEAD
38,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,3870,2026-06-08T10:05:43Z,0,3870,HEAD
39,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3834,2026-06-08T08:15:38Z,0,3834,HEAD
40,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3788,2026-06-05T01:35:15Z,0,3788,HEAD
41,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,3644,2026-06-08T09:08:24Z,0,3644,HEAD
42,opensumi/core,github,https://github.com/opensumi/core,3633,2026-06-07T00:46:08Z,0,3633,HEAD
