rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,33545,2026-06-05T21:33:47Z,0,33545,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,30457,2026-06-05T21:42:38Z,0,30457,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25502,2026-06-05T18:35:19Z,0,25502,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22578,2026-06-05T21:06:42Z,0,22578,HEAD
5,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15493,2026-06-05T19:11:51Z,0,15493,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15002,2026-06-05T17:05:18Z,0,15002,HEAD
7,chopratejas/headroom,github,https://github.com/chopratejas/headroom,14417,2026-06-05T21:48:12Z,0,14417,HEAD
8,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11850,2026-06-05T21:08:56Z,0,11850,HEAD
9,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11587,2026-06-04T21:10:43Z,0,11587,HEAD
10,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,9310,2026-06-05T20:00:04Z,0,9310,HEAD
11,awslabs/mcp,github,https://github.com/awslabs/mcp,9216,2026-06-05T20:26:01Z,0,9216,HEAD
12,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9134,2026-06-05T19:35:31Z,0,9134,HEAD
13,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8443,2026-06-05T14:16:59Z,0,8443,HEAD
14,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8141,2026-06-05T20:54:42Z,0,8141,HEAD
15,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7989,2026-06-05T14:51:52Z,0,7989,HEAD
16,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6625,2026-06-05T17:31:42Z,0,6625,HEAD
17,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6496,2026-06-05T21:44:15Z,0,6496,HEAD
18,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6110,2026-06-05T20:31:28Z,0,6110,HEAD
19,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,5908,2026-06-05T15:42:55Z,0,5908,HEAD
20,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5878,2026-06-05T19:08:54Z,0,5878,HEAD
21,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5841,2026-06-05T17:31:21Z,0,5841,HEAD
22,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5735,2026-06-05T19:25:10Z,0,5735,HEAD
23,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5715,2026-06-05T20:02:57Z,0,5715,HEAD
24,epiral/bb-browser,github,https://github.com/epiral/bb-browser,5680,2026-06-05T14:46:20Z,0,5680,HEAD
25,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5340,2026-06-05T13:47:28Z,0,5340,HEAD
26,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,4996,2026-06-05T14:50:49Z,0,4996,HEAD
27,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4797,2026-06-04T12:30:57Z,0,4797,HEAD
28,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4627,2026-06-05T20:54:07Z,0,4627,HEAD
29,u14app/deep-research,github,https://github.com/u14app/deep-research,4599,2026-06-05T14:48:41Z,0,4599,HEAD
30,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4535,2026-06-05T19:03:47Z,0,4535,HEAD
31,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4393,2026-06-05T08:47:20Z,0,4393,HEAD
32,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4217,2026-06-05T06:46:50Z,0,4217,HEAD
33,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,4163,2026-06-05T21:42:19Z,0,4163,HEAD
34,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4134,2026-06-05T20:05:15Z,0,4134,HEAD
35,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,4026,2026-06-05T21:19:56Z,0,4026,HEAD
36,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3902,2026-06-05T20:07:30Z,0,3902,HEAD
37,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,3853,2026-06-05T18:51:06Z,0,3853,HEAD
38,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3822,2026-06-05T18:01:50Z,0,3822,HEAD
39,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3788,2026-06-05T01:35:15Z,0,3788,HEAD
40,opensumi/core,github,https://github.com/opensumi/core,3633,2026-06-04T12:30:53Z,0,3633,HEAD
41,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,3615,2026-06-05T20:37:04Z,0,3615,HEAD
42,laravel/boost,github,https://github.com/laravel/boost,3498,2026-06-05T11:07:09Z,0,3498,HEAD
