rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,64165,2026-08-03T09:21:39Z,0,64165,HEAD
2,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,37198,2026-08-03T09:26:18Z,0,37198,HEAD
3,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,35770,2026-08-03T09:28:28Z,0,35770,HEAD
4,github/github-mcp-server,github,https://github.com/github/github-mcp-server,31915,2026-08-03T07:46:47Z,0,31915,HEAD
5,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,27029,2026-08-03T09:28:59Z,0,27029,HEAD
6,activepieces/activepieces,github,https://github.com/activepieces/activepieces,23556,2026-08-03T09:28:25Z,0,23556,HEAD
7,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,16109,2026-08-03T08:58:58Z,0,16109,HEAD
8,MODSetter/SurfSense,github,https://github.com/MODSetter/SurfSense,15713,2026-08-03T08:57:55Z,0,15713,HEAD
9,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15572,2026-08-03T09:18:07Z,0,15572,HEAD
10,t8y2/dbx,github,https://github.com/t8y2/dbx,13055,2026-08-03T09:23:51Z,0,13055,HEAD
11,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,12247,2026-08-03T08:43:34Z,0,12247,HEAD
12,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11708,2026-08-02T20:40:33Z,0,11708,HEAD
13,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,10769,2026-08-03T09:10:32Z,0,10769,HEAD
14,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9686,2026-08-03T07:18:33Z,0,9686,HEAD
15,awslabs/mcp,github,https://github.com/awslabs/mcp,9541,2026-08-03T08:34:08Z,0,9541,HEAD
16,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,9095,2026-08-03T09:29:09Z,0,9095,HEAD
17,xberg-io/xberg,github,https://github.com/xberg-io/xberg,8825,2026-08-03T09:31:27Z,0,8825,HEAD
18,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8309,2026-08-02T06:24:05Z,0,8309,HEAD
19,webiny/webiny-js,github,https://github.com/webiny/webiny-js,8021,2026-07-31T15:50:46Z,0,8021,HEAD
20,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,7897,2026-08-03T09:21:54Z,0,7897,HEAD
21,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,7113,2026-08-03T09:25:53Z,0,7113,HEAD
22,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6923,2026-08-03T08:32:22Z,0,6923,HEAD
23,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,6560,2026-08-03T09:12:59Z,0,6560,HEAD
24,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,6182,2026-08-03T07:52:37Z,0,6182,HEAD
25,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,6046,2026-08-03T07:37:04Z,0,6046,HEAD
26,epiral/bb-browser,github,https://github.com/epiral/bb-browser,6027,2026-08-03T07:51:25Z,0,6027,HEAD
27,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5965,2026-08-03T08:05:56Z,0,5965,HEAD
28,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,5811,2026-08-03T07:52:16Z,0,5811,HEAD
29,jacob-bd/gemini-notebook-mcp-cli,github,https://github.com/jacob-bd/gemini-notebook-mcp-cli,5710,2026-08-03T08:04:27Z,0,5710,HEAD
30,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5689,2026-08-03T07:41:57Z,0,5689,HEAD
31,FlorianBruniaux/claude-code-ultimate-guide,github,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,5643,2026-08-03T08:42:31Z,0,5643,HEAD
32,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,5030,2026-08-03T07:50:13Z,0,5030,HEAD
33,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4950,2026-08-03T08:43:37Z,0,4950,HEAD
34,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4825,2026-08-03T01:11:04Z,0,4825,HEAD
35,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4811,2026-08-03T07:30:12Z,0,4811,HEAD
36,u14app/deep-research,github,https://github.com/u14app/deep-research,4683,2026-08-03T07:32:07Z,0,4683,HEAD
37,prest/prest,github,https://github.com/prest/prest,4607,2026-08-02T04:19:31Z,0,4607,HEAD
38,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4566,2026-08-02T19:03:49Z,0,4566,HEAD
39,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4276,2026-08-03T08:28:54Z,0,4276,HEAD
40,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4274,2026-08-03T08:05:17Z,0,4274,HEAD
41,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,4249,2026-08-03T05:53:32Z,0,4249,HEAD
42,homeassistant-ai/ha-mcp,github,https://github.com/homeassistant-ai/ha-mcp,4245,2026-08-03T06:49:20Z,0,4245,HEAD
43,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,4189,2026-08-03T07:33:08Z,0,4189,HEAD
44,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,4088,2026-08-03T08:57:30Z,0,4088,HEAD
45,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,4035,2026-08-03T07:41:09Z,0,4035,HEAD
46,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,4019,2026-08-02T18:29:44Z,0,4019,HEAD
