rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,56966,2026-07-06T10:04:36Z,0,56966,HEAD
2,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,34767,2026-07-06T09:54:42Z,0,34767,HEAD
3,github/github-mcp-server,github,https://github.com/github/github-mcp-server,31232,2026-07-06T10:06:11Z,0,31232,HEAD
4,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,27043,2026-07-06T10:05:39Z,0,27043,HEAD
5,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25992,2026-07-06T10:05:42Z,0,25992,HEAD
6,activepieces/activepieces,github,https://github.com/activepieces/activepieces,23139,2026-07-06T09:52:03Z,0,23139,HEAD
7,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15868,2026-07-06T08:05:37Z,0,15868,HEAD
8,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15322,2026-07-06T09:47:02Z,0,15322,HEAD
9,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,12048,2026-07-06T07:13:28Z,0,12048,HEAD
10,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11643,2026-07-06T08:20:27Z,0,11643,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,10171,2026-07-06T09:55:18Z,0,10171,HEAD
12,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9415,2026-07-06T08:36:20Z,0,9415,HEAD
13,awslabs/mcp,github,https://github.com/awslabs/mcp,9398,2026-07-06T09:28:46Z,0,9398,HEAD
14,xberg-io/xberg,github,https://github.com/xberg-io/xberg,8593,2026-07-06T08:04:04Z,0,8593,HEAD
15,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8233,2026-07-06T03:27:14Z,0,8233,HEAD
16,webiny/webiny-js,github,https://github.com/webiny/webiny-js,8004,2026-07-06T08:15:57Z,0,8004,HEAD
17,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6849,2026-07-06T09:55:21Z,0,6849,HEAD
18,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6772,2026-07-06T09:30:04Z,0,6772,HEAD
19,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,6395,2026-07-06T09:21:14Z,0,6395,HEAD
20,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,6335,2026-07-06T09:40:05Z,0,6335,HEAD
21,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6251,2026-07-06T07:37:14Z,0,6251,HEAD
22,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,6033,2026-07-06T09:15:28Z,0,6033,HEAD
23,epiral/bb-browser,github,https://github.com/epiral/bb-browser,5940,2026-07-06T08:54:53Z,0,5940,HEAD
24,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5879,2026-07-06T03:45:50Z,0,5879,HEAD
25,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5842,2026-07-06T08:45:32Z,0,5842,HEAD
26,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5502,2026-07-06T09:04:58Z,0,5502,HEAD
27,FlorianBruniaux/claude-code-ultimate-guide,github,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,5346,2026-07-06T09:53:44Z,0,5346,HEAD
28,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,5328,2026-07-06T02:05:07Z,0,5328,HEAD
29,jacob-bd/notebooklm-mcp-cli,github,https://github.com/jacob-bd/notebooklm-mcp-cli,5195,2026-07-06T10:01:46Z,0,5195,HEAD
30,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,4912,2026-07-06T10:02:10Z,0,4912,HEAD
31,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4828,2026-07-05T22:16:33Z,0,4828,HEAD
32,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4815,2026-07-06T06:38:46Z,0,4815,HEAD
33,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4670,2026-07-06T09:31:47Z,0,4670,HEAD
34,u14app/deep-research,github,https://github.com/u14app/deep-research,4629,2026-07-05T12:54:09Z,0,4629,HEAD
35,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,4574,2026-07-06T08:13:51Z,0,4574,HEAD
36,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4482,2026-07-06T04:15:14Z,0,4482,HEAD
37,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4257,2026-07-06T06:54:49Z,0,4257,HEAD
38,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4214,2026-07-06T08:50:09Z,0,4214,HEAD
39,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,4035,2026-07-06T04:57:37Z,0,4035,HEAD
40,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3990,2026-07-06T08:44:03Z,0,3990,HEAD
