rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,58833,2026-07-13T08:57:40Z,0,58833,HEAD
2,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,35013,2026-07-13T08:54:08Z,0,35013,HEAD
3,github/github-mcp-server,github,https://github.com/github/github-mcp-server,31400,2026-07-13T08:56:00Z,0,31400,HEAD
4,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,30816,2026-07-13T08:54:34Z,0,30816,HEAD
5,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,26168,2026-07-13T08:03:09Z,0,26168,HEAD
6,activepieces/activepieces,github,https://github.com/activepieces/activepieces,23246,2026-07-13T06:29:37Z,0,23246,HEAD
7,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15944,2026-07-13T07:30:08Z,0,15944,HEAD
8,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15379,2026-07-13T08:33:38Z,0,15379,HEAD
9,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,12099,2026-07-13T06:31:23Z,0,12099,HEAD
10,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11660,2026-07-13T05:56:13Z,0,11660,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,10284,2026-07-13T08:50:44Z,0,10284,HEAD
12,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9486,2026-07-13T08:15:56Z,0,9486,HEAD
13,awslabs/mcp,github,https://github.com/awslabs/mcp,9436,2026-07-13T08:43:34Z,0,9436,HEAD
14,xberg-io/xberg,github,https://github.com/xberg-io/xberg,8631,2026-07-13T08:18:00Z,0,8631,HEAD
15,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8246,2026-07-13T02:39:26Z,0,8246,HEAD
16,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,8096,2026-07-13T08:53:10Z,0,8096,HEAD
17,webiny/webiny-js,github,https://github.com/webiny/webiny-js,8013,2026-07-13T08:39:11Z,0,8013,HEAD
18,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,7305,2026-07-13T08:54:48Z,0,7305,HEAD
19,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6930,2026-07-13T07:21:47Z,0,6930,HEAD
20,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6814,2026-07-13T07:47:46Z,0,6814,HEAD
21,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,6413,2026-07-13T07:18:13Z,0,6413,HEAD
22,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,6068,2026-07-13T07:50:11Z,0,6068,HEAD
23,epiral/bb-browser,github,https://github.com/epiral/bb-browser,5960,2026-07-13T06:09:13Z,0,5960,HEAD
24,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5896,2026-07-13T07:02:52Z,0,5896,HEAD
25,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5870,2026-07-12T12:08:06Z,0,5870,HEAD
26,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5543,2026-07-13T08:31:31Z,0,5543,HEAD
27,jacob-bd/notebooklm-mcp-cli,github,https://github.com/jacob-bd/notebooklm-mcp-cli,5439,2026-07-13T04:23:14Z,0,5439,HEAD
28,FlorianBruniaux/claude-code-ultimate-guide,github,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,5429,2026-07-13T08:01:23Z,0,5429,HEAD
29,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,5412,2026-07-13T07:46:58Z,0,5412,HEAD
30,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,5239,2026-07-13T08:32:40Z,0,5239,HEAD
31,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4856,2026-07-13T08:45:10Z,0,4856,HEAD
32,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4818,2026-07-12T16:47:22Z,0,4818,HEAD
33,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4700,2026-07-13T06:31:54Z,0,4700,HEAD
34,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,4679,2026-07-13T08:37:27Z,0,4679,HEAD
35,u14app/deep-research,github,https://github.com/u14app/deep-research,4633,2026-07-13T05:38:38Z,0,4633,HEAD
36,prest/prest,github,https://github.com/prest/prest,4572,2026-07-13T01:41:56Z,0,4572,HEAD
37,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4522,2026-07-13T07:26:12Z,0,4522,HEAD
38,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4266,2026-07-13T02:28:24Z,0,4266,HEAD
39,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4233,2026-07-12T22:18:51Z,0,4233,HEAD
40,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,4070,2026-07-13T08:09:51Z,0,4070,HEAD
41,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,4021,2026-07-13T07:58:12Z,0,4021,HEAD
42,homeassistant-ai/ha-mcp,github,https://github.com/homeassistant-ai/ha-mcp,3955,2026-07-13T08:44:17Z,0,3955,HEAD
43,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3939,2026-07-13T00:43:49Z,0,3939,HEAD
44,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,3915,2026-07-13T06:13:21Z,0,3915,HEAD
45,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,3802,2026-07-13T08:45:55Z,0,3802,HEAD
46,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3790,2026-07-12T07:15:12Z,0,3790,HEAD
47,TabularisDB/tabularis,github,https://github.com/TabularisDB/tabularis,3692,2026-07-13T08:50:58Z,0,3692,HEAD
48,opensumi/core,github,https://github.com/opensumi/core,3644,2026-07-11T04:46:48Z,0,3644,HEAD
49,laravel/boost,github,https://github.com/laravel/boost,3535,2026-07-13T06:06:33Z,0,3535,HEAD
50,atilaahmettaner/tradingview-mcp,github,https://github.com/atilaahmettaner/tradingview-mcp,3507,2026-07-13T08:48:44Z,0,3507,HEAD
