rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,32987,2026-05-25T09:54:07Z,0,32987,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,30157,2026-05-25T09:05:49Z,0,30157,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25303,2026-05-25T09:48:24Z,0,25303,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22405,2026-05-25T09:46:04Z,0,22405,HEAD
5,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15331,2026-05-25T08:20:18Z,0,15331,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,14862,2026-05-25T08:37:02Z,0,14862,HEAD
7,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11710,2026-05-25T08:50:30Z,0,11710,HEAD
8,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11561,2026-05-25T05:45:21Z,0,11561,HEAD
9,awslabs/mcp,github,https://github.com/awslabs/mcp,9122,2026-05-25T03:22:55Z,0,9122,HEAD
10,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9014,2026-05-25T08:11:03Z,0,9014,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,8929,2026-05-25T09:32:39Z,0,8929,HEAD
12,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8384,2026-05-25T09:02:31Z,0,8384,HEAD
13,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8091,2026-05-25T05:05:20Z,0,8091,HEAD
14,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7980,2026-05-25T09:20:46Z,0,7980,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6560,2026-05-25T09:19:32Z,0,6560,HEAD
