rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,69227,2026-09-07T11:16:10Z,0,69227,HEAD
2,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,42532,2026-09-07T11:13:04Z,0,42532,HEAD
3,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,36866,2026-09-07T09:30:40Z,0,36866,HEAD
4,github/github-mcp-server,github,https://github.com/github/github-mcp-server,32775,2026-09-07T10:52:09Z,0,32775,HEAD
5,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,27545,2026-09-07T10:27:04Z,0,27545,HEAD
6,activepieces/activepieces,github,https://github.com/activepieces/activepieces,24309,2026-09-07T11:03:49Z,0,24309,HEAD
7,t8y2/dbx,github,https://github.com/t8y2/dbx,18191,2026-09-07T10:57:57Z,0,18191,HEAD
8,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,16328,2026-09-07T10:13:12Z,0,16328,HEAD
9,MODSetter/SurfSense,github,https://github.com/MODSetter/SurfSense,16102,2026-09-07T08:39:17Z,0,16102,HEAD
10,budtmo/docker-android,github,https://github.com/budtmo/docker-android,15834,2026-09-07T10:09:27Z,0,15834,HEAD
11,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15792,2026-09-07T09:24:12Z,0,15792,HEAD
12,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,12386,2026-09-07T09:25:18Z,0,12386,HEAD
13,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11735,2026-09-07T09:51:59Z,0,11735,HEAD
14,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,11584,2026-09-07T10:59:21Z,0,11584,HEAD
15,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9966,2026-09-07T03:43:19Z,0,9966,HEAD
16,awslabs/mcp,github,https://github.com/awslabs/mcp,9668,2026-09-07T07:20:04Z,0,9668,HEAD
17,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,9504,2026-09-07T10:17:50Z,0,9504,HEAD
18,xberg-io/xberg,github,https://github.com/xberg-io/xberg,9274,2026-09-07T10:46:45Z,0,9274,HEAD
19,Agents365-ai/drawio-skill,github,https://github.com/Agents365-ai/drawio-skill,9104,2026-09-07T08:34:22Z,0,9104,HEAD
20,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8373,2026-09-07T09:04:41Z,0,8373,HEAD
21,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,8264,2026-09-07T09:21:19Z,0,8264,HEAD
22,webiny/webiny-js,github,https://github.com/webiny/webiny-js,8032,2026-09-07T11:01:18Z,0,8032,HEAD
23,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,7411,2026-09-07T09:46:59Z,0,7411,HEAD
24,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,7058,2026-09-07T09:51:25Z,0,7058,HEAD
25,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,6925,2026-09-07T08:36:35Z,0,6925,HEAD
26,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,6371,2026-09-07T10:11:20Z,0,6371,HEAD
27,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,6349,2026-09-07T10:39:59Z,0,6349,HEAD
28,Gentleman-Programming/gentle-ai,github,https://github.com/Gentleman-Programming/gentle-ai,6332,2026-09-07T11:11:53Z,0,6332,HEAD
29,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,6236,2026-09-07T08:52:24Z,0,6236,HEAD
30,apify/apify-mcp-server,github,https://github.com/apify/apify-mcp-server,6220,2026-09-07T11:10:19Z,0,6220,HEAD
31,epiral/bb-browser,github,https://github.com/epiral/bb-browser,6182,2026-09-07T08:40:16Z,0,6182,HEAD
32,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,6152,2026-09-07T09:11:21Z,0,6152,HEAD
33,jacob-bd/gemini-notebook-mcp-cli,github,https://github.com/jacob-bd/gemini-notebook-mcp-cli,6036,2026-09-07T10:16:33Z,0,6036,HEAD
34,FlorianBruniaux/claude-code-ultimate-guide,github,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,5909,2026-09-06T21:33:49Z,0,5909,HEAD
35,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5857,2026-09-07T06:50:36Z,0,5857,HEAD
36,Q00/ouroboros,github,https://github.com/Q00/ouroboros,5790,2026-09-07T06:29:27Z,0,5790,HEAD
37,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,5557,2026-09-07T11:03:38Z,0,5557,HEAD
38,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,5124,2026-09-07T10:23:02Z,0,5124,HEAD
39,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4982,2026-09-07T10:13:57Z,0,4982,HEAD
40,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4889,2026-09-06T13:25:39Z,0,4889,HEAD
41,TabularisDB/tabularis,github,https://github.com/TabularisDB/tabularis,4805,2026-09-07T11:13:49Z,0,4805,HEAD
42,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,4745,2026-09-07T10:01:40Z,0,4745,HEAD
43,u14app/deep-research,github,https://github.com/u14app/deep-research,4683,2026-09-07T09:28:55Z,0,4683,HEAD
44,homeassistant-ai/ha-mcp,github,https://github.com/homeassistant-ai/ha-mcp,4642,2026-09-07T11:12:59Z,0,4642,HEAD
45,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4622,2026-09-07T02:07:28Z,0,4622,HEAD
46,prest/prest,github,https://github.com/prest/prest,4615,2026-09-07T02:33:28Z,0,4615,HEAD
47,callstack/agent-device,github,https://github.com/callstack/agent-device,4425,2026-09-07T11:06:38Z,0,4425,HEAD
48,atilaahmettaner/tradingview-mcp,github,https://github.com/atilaahmettaner/tradingview-mcp,4378,2026-09-07T10:35:39Z,0,4378,HEAD
49,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,4374,2026-09-07T09:25:15Z,0,4374,HEAD
50,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4349,2026-09-07T08:57:42Z,0,4349,HEAD
