rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,32341,2026-05-11T09:25:13Z,0,32341,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,29706,2026-05-11T09:24:05Z,0,29706,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25107,2026-05-11T07:29:06Z,0,25107,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22143,2026-05-11T08:51:06Z,0,22143,HEAD
5,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15135,2026-05-11T09:02:27Z,0,15135,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,14705,2026-05-11T09:23:23Z,0,14705,HEAD
7,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11585,2026-05-11T08:36:27Z,0,11585,HEAD
8,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11530,2026-05-11T08:15:15Z,0,11530,HEAD
9,awslabs/mcp,github,https://github.com/awslabs/mcp,9015,2026-05-11T09:15:22Z,0,9015,HEAD
10,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,8824,2026-05-11T09:00:59Z,0,8824,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,8663,2026-05-11T08:20:23Z,0,8663,HEAD
12,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8277,2026-05-11T09:20:40Z,0,8277,HEAD
13,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8066,2026-05-11T09:00:40Z,0,8066,HEAD
14,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7974,2026-05-11T09:19:07Z,0,7974,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6485,2026-05-11T08:08:07Z,0,6485,HEAD
16,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6274,2026-05-11T08:28:14Z,0,6274,HEAD
17,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6023,2026-05-11T07:59:12Z,0,6023,HEAD
18,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5596,2026-05-11T06:07:25Z,0,5596,HEAD
19,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5533,2026-05-11T03:17:28Z,0,5533,HEAD
20,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5476,2026-05-11T09:08:02Z,0,5476,HEAD
21,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,5331,2026-05-11T07:57:34Z,0,5331,HEAD
