rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,32663,2026-05-18T09:34:08Z,0,32663,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,29937,2026-05-18T09:36:11Z,0,29937,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25201,2026-05-18T08:53:27Z,0,25201,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22242,2026-05-18T09:19:10Z,0,22242,HEAD
5,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15258,2026-05-18T09:30:49Z,0,15258,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,14782,2026-05-18T09:36:17Z,0,14782,HEAD
7,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11641,2026-05-18T08:58:59Z,0,11641,HEAD
8,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11544,2026-05-18T00:33:13Z,0,11544,HEAD
9,awslabs/mcp,github,https://github.com/awslabs/mcp,9078,2026-05-18T08:45:33Z,0,9078,HEAD
10,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,8925,2026-05-18T09:09:22Z,0,8925,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,8796,2026-05-18T09:37:47Z,0,8796,HEAD
12,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8328,2026-05-18T09:48:33Z,0,8328,HEAD
13,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8083,2026-05-17T11:03:41Z,0,8083,HEAD
14,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7977,2026-05-18T09:30:15Z,0,7977,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6520,2026-05-18T09:45:35Z,0,6520,HEAD
16,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6328,2026-05-18T09:35:53Z,0,6328,HEAD
17,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6058,2026-05-18T09:04:45Z,0,6058,HEAD
18,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5661,2026-05-18T08:41:30Z,0,5661,HEAD
19,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5648,2026-05-18T09:32:43Z,0,5648,HEAD
20,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5647,2026-05-18T09:48:44Z,0,5647,HEAD
21,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5624,2026-05-18T09:26:48Z,0,5624,HEAD
22,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,5457,2026-05-18T08:26:31Z,0,5457,HEAD
