rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,33938,2026-06-15T10:59:49Z,0,33938,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,30691,2026-06-15T11:09:27Z,0,30691,HEAD
3,chopratejas/headroom,github,https://github.com/chopratejas/headroom,28189,2026-06-15T11:53:41Z,0,28189,HEAD
4,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25634,2026-06-15T10:20:57Z,0,25634,HEAD
5,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22768,2026-06-15T11:32:45Z,0,22768,HEAD
6,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15622,2026-06-15T11:00:36Z,0,15622,HEAD
7,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15110,2026-06-15T10:24:51Z,0,15110,HEAD
8,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11926,2026-06-15T09:56:23Z,0,11926,HEAD
9,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11597,2026-06-15T04:18:11Z,0,11597,HEAD
10,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,9588,2026-06-15T11:11:19Z,0,9588,HEAD
11,awslabs/mcp,github,https://github.com/awslabs/mcp,9269,2026-06-15T10:42:33Z,0,9269,HEAD
12,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9224,2026-06-15T10:17:34Z,0,9224,HEAD
13,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8490,2026-06-15T09:49:30Z,0,8490,HEAD
14,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8169,2026-06-15T08:12:38Z,0,8169,HEAD
15,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7992,2026-06-15T10:19:20Z,0,7992,HEAD
16,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6677,2026-06-15T10:55:47Z,0,6677,HEAD
17,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6579,2026-06-15T08:52:34Z,0,6579,HEAD
18,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6172,2026-06-15T09:29:22Z,0,6172,HEAD
19,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,6024,2026-06-15T08:09:24Z,0,6024,HEAD
20,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5986,2026-06-15T10:49:44Z,0,5986,HEAD
21,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5899,2026-06-14T22:56:39Z,0,5899,HEAD
22,epiral/bb-browser,github,https://github.com/epiral/bb-browser,5798,2026-06-15T10:59:53Z,0,5798,HEAD
23,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5784,2026-06-15T08:11:17Z,0,5784,HEAD
24,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5774,2026-06-15T04:58:25Z,0,5774,HEAD
25,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5395,2026-06-15T09:13:45Z,0,5395,HEAD
26,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,5131,2026-06-15T09:52:30Z,0,5131,HEAD
27,jacob-bd/notebooklm-mcp-cli,github,https://github.com/jacob-bd/notebooklm-mcp-cli,4888,2026-06-15T11:07:43Z,0,4888,HEAD
28,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4802,2026-06-14T17:39:01Z,0,4802,HEAD
29,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4707,2026-06-15T09:24:05Z,0,4707,HEAD
30,u14app/deep-research,github,https://github.com/u14app/deep-research,4611,2026-06-15T09:30:37Z,0,4611,HEAD
31,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4578,2026-06-15T10:58:54Z,0,4578,HEAD
32,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4421,2026-06-15T10:51:04Z,0,4421,HEAD
33,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,4354,2026-06-15T11:35:16Z,0,4354,HEAD
34,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4226,2026-06-15T08:04:53Z,0,4226,HEAD
35,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,4179,2026-06-15T10:54:57Z,0,4179,HEAD
36,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4161,2026-06-15T11:41:39Z,0,4161,HEAD
37,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3934,2026-06-15T11:18:05Z,0,3934,HEAD
38,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,3913,2026-06-15T11:53:39Z,0,3913,HEAD
39,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3860,2026-06-15T11:42:12Z,0,3860,HEAD
40,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3791,2026-06-14T05:40:55Z,0,3791,HEAD
41,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,3737,2026-06-15T11:02:40Z,0,3737,HEAD
42,opensumi/core,github,https://github.com/opensumi/core,3635,2026-06-14T02:53:07Z,0,3635,HEAD
43,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,3534,2026-06-15T11:32:20Z,0,3534,HEAD
44,laravel/boost,github,https://github.com/laravel/boost,3508,2026-06-15T06:20:20Z,0,3508,HEAD
45,homeassistant-ai/ha-mcp,github,https://github.com/homeassistant-ai/ha-mcp,3417,2026-06-15T11:48:04Z,0,3417,HEAD
46,browserbase/mcp-server-browserbase,github,https://github.com/browserbase/mcp-server-browserbase,3373,2026-06-14T13:30:31Z,0,3373,HEAD
47,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,3286,2026-06-15T10:28:34Z,0,3286,HEAD
48,Manavarya09/design-extract,github,https://github.com/Manavarya09/design-extract,3226,2026-06-15T11:30:10Z,0,3226,HEAD
49,punkpeye/fastmcp,github,https://github.com/punkpeye/fastmcp,3194,2026-06-15T05:23:51Z,0,3194,HEAD
50,grafana/mcp-grafana,github,https://github.com/grafana/mcp-grafana,3153,2026-06-15T09:49:05Z,0,3153,HEAD
