rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,53436,2026-06-29T10:42:03Z,0,53436,HEAD
2,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,34495,2026-06-29T10:43:43Z,0,34495,HEAD
3,github/github-mcp-server,github,https://github.com/github/github-mcp-server,31051,2026-06-29T10:27:19Z,0,31051,HEAD
4,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25856,2026-06-29T09:00:10Z,0,25856,HEAD
5,activepieces/activepieces,github,https://github.com/activepieces/activepieces,23041,2026-06-29T09:53:34Z,0,23041,HEAD
6,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,20685,2026-06-29T10:45:44Z,0,20685,HEAD
7,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15739,2026-06-29T10:15:47Z,0,15739,HEAD
8,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15250,2026-06-29T09:25:09Z,0,15250,HEAD
9,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,12007,2026-06-29T10:43:56Z,0,12007,HEAD
10,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11618,2026-06-29T08:00:19Z,0,11618,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,10010,2026-06-29T09:47:32Z,0,10010,HEAD
12,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9362,2026-06-29T10:30:47Z,0,9362,HEAD
13,awslabs/mcp,github,https://github.com/awslabs/mcp,9352,2026-06-29T09:51:11Z,0,9352,HEAD
14,xberg-io/xberg,github,https://github.com/xberg-io/xberg,8566,2026-06-29T08:58:26Z,0,8566,HEAD
15,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8214,2026-06-29T02:00:18Z,0,8214,HEAD
16,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7994,2026-06-29T09:43:12Z,0,7994,HEAD
17,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6744,2026-06-29T09:51:12Z,0,6744,HEAD
18,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6737,2026-06-29T09:45:48Z,0,6737,HEAD
19,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,6272,2026-06-29T10:26:29Z,0,6272,HEAD
20,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,6241,2026-06-29T10:02:16Z,0,6241,HEAD
21,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6225,2026-06-29T07:00:55Z,0,6225,HEAD
22,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5997,2026-06-29T10:20:12Z,0,5997,HEAD
23,epiral/bb-browser,github,https://github.com/epiral/bb-browser,5914,2026-06-29T09:54:37Z,0,5914,HEAD
24,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5853,2026-06-29T09:10:36Z,0,5853,HEAD
25,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5816,2026-06-29T07:15:23Z,0,5816,HEAD
26,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5477,2026-06-29T10:11:53Z,0,5477,HEAD
27,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,5264,2026-06-29T09:45:29Z,0,5264,HEAD
28,FlorianBruniaux/claude-code-ultimate-guide,github,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,5245,2026-06-29T10:30:32Z,0,5245,HEAD
29,jacob-bd/notebooklm-mcp-cli,github,https://github.com/jacob-bd/notebooklm-mcp-cli,5101,2026-06-29T04:09:42Z,0,5101,HEAD
30,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4808,2026-06-29T10:23:20Z,0,4808,HEAD
31,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4806,2026-06-29T03:53:05Z,0,4806,HEAD
32,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,4741,2026-06-29T10:14:49Z,0,4741,HEAD
33,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4644,2026-06-29T06:53:02Z,0,4644,HEAD
34,u14app/deep-research,github,https://github.com/u14app/deep-research,4630,2026-06-29T07:19:53Z,0,4630,HEAD
35,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4467,2026-06-29T00:12:45Z,0,4467,HEAD
36,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,4461,2026-06-29T10:30:51Z,0,4461,HEAD
37,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4253,2026-06-29T09:12:57Z,0,4253,HEAD
38,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,4190,2026-06-29T03:04:00Z,0,4190,HEAD
39,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,3990,2026-06-29T06:59:01Z,0,3990,HEAD
40,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3972,2026-06-29T05:53:55Z,0,3972,HEAD
41,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3903,2026-06-29T06:17:34Z,0,3903,HEAD
42,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,3838,2026-06-29T10:06:30Z,0,3838,HEAD
43,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3789,2026-06-29T06:15:11Z,0,3789,HEAD
44,homeassistant-ai/ha-mcp,github,https://github.com/homeassistant-ai/ha-mcp,3716,2026-06-29T10:32:03Z,0,3716,HEAD
45,opensumi/core,github,https://github.com/opensumi/core,3636,2026-06-29T02:47:49Z,0,3636,HEAD
46,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,3572,2026-06-29T10:02:46Z,0,3572,HEAD
