rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,73343,2026-09-21T11:22:10Z,0,73343,HEAD
2,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,43946,2026-09-21T11:29:36Z,0,43946,HEAD
3,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,37424,2026-09-21T10:26:00Z,0,37424,HEAD
4,github/github-mcp-server,github,https://github.com/github/github-mcp-server,33098,2026-09-21T11:43:22Z,0,33098,HEAD
5,feder-cr/AIHawk,github,https://github.com/feder-cr/AIHawk,31614,2026-09-21T08:42:48Z,0,31614,HEAD
6,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,27833,2026-09-21T11:36:22Z,0,27833,HEAD
7,activepieces/activepieces,github,https://github.com/activepieces/activepieces,24629,2026-09-21T11:40:21Z,0,24629,HEAD
8,t8y2/dbx,github,https://github.com/t8y2/dbx,20321,2026-09-21T11:45:13Z,0,20321,HEAD
9,Evil0ctal/Douyin_TikTok_Download_API,github,https://github.com/Evil0ctal/Douyin_TikTok_Download_API,20234,2026-09-21T11:41:46Z,0,20234,HEAD
10,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,16470,2026-09-21T09:45:53Z,0,16470,HEAD
11,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15889,2026-09-21T11:24:36Z,0,15889,HEAD
12,budtmo/docker-android,github,https://github.com/budtmo/docker-android,15878,2026-09-21T09:28:53Z,0,15878,HEAD
13,tonhowtf/omniget,github,https://github.com/tonhowtf/omniget,14081,2026-09-21T11:18:57Z,0,14081,HEAD
14,seleniumbase/SeleniumBase,github,https://github.com/seleniumbase/SeleniumBase,13031,2026-09-21T09:27:19Z,0,13031,HEAD
15,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,12440,2026-09-21T03:10:59Z,0,12440,HEAD
16,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,12022,2026-09-21T11:31:48Z,0,12022,HEAD
17,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11756,2026-09-21T09:47:26Z,0,11756,HEAD
18,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,10141,2026-09-21T11:10:26Z,0,10141,HEAD
19,awslabs/mcp,github,https://github.com/awslabs/mcp,9716,2026-09-21T09:45:52Z,0,9716,HEAD
20,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,9679,2026-09-21T09:37:34Z,0,9679,HEAD
21,xberg-io/xberg,github,https://github.com/xberg-io/xberg,9332,2026-09-21T11:23:52Z,0,9332,HEAD
22,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8414,2026-09-21T06:04:34Z,0,8414,HEAD
23,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,8348,2026-09-21T03:28:37Z,0,8348,HEAD
24,webiny/webiny-js,github,https://github.com/webiny/webiny-js,8042,2026-09-21T09:06:53Z,0,8042,HEAD
25,apify/apify-mcp-server,github,https://github.com/apify/apify-mcp-server,7902,2026-09-21T11:43:07Z,0,7902,HEAD
26,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,7496,2026-09-21T09:28:38Z,0,7496,HEAD
27,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,7120,2026-09-21T06:36:43Z,0,7120,HEAD
