rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,31968,2026-05-04T08:18:59Z,0,31968,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,29488,2026-05-04T07:21:38Z,0,29488,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,24973,2026-05-04T07:30:29Z,0,24973,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22035,2026-05-04T08:07:57Z,0,22035,HEAD
5,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,14929,2026-05-04T07:29:47Z,0,14929,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,14606,2026-05-04T07:52:24Z,0,14606,HEAD
7,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11501,2026-05-04T06:09:49Z,0,11501,HEAD
8,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11372,2026-05-04T07:24:06Z,0,11372,HEAD
9,awslabs/mcp,github,https://github.com/awslabs/mcp,8942,2026-05-04T06:02:30Z,0,8942,HEAD
10,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,8739,2026-05-04T05:18:01Z,0,8739,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,8512,2026-05-04T08:09:27Z,0,8512,HEAD
12,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8215,2026-05-04T08:14:33Z,0,8215,HEAD
13,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8015,2026-05-04T04:55:15Z,0,8015,HEAD
14,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7970,2026-05-03T13:48:13Z,0,7970,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6445,2026-05-04T04:09:11Z,0,6445,HEAD
16,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6205,2026-05-04T07:11:26Z,0,6205,HEAD
17,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,5990,2026-05-04T04:55:23Z,0,5990,HEAD
18,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5573,2026-05-03T17:47:33Z,0,5573,HEAD
19,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5458,2026-05-04T08:01:43Z,0,5458,HEAD
20,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5403,2026-05-04T04:54:46Z,0,5403,HEAD
21,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,5171,2026-05-04T07:52:20Z,0,5171,HEAD
22,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5090,2026-05-03T16:24:05Z,0,5090,HEAD
23,epiral/bb-browser,github,https://github.com/epiral/bb-browser,4949,2026-05-04T07:25:49Z,0,4949,HEAD
