rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,72013,2026-09-14T11:26:29Z,0,72013,HEAD
2,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,43182,2026-09-14T11:25:18Z,0,43182,HEAD
3,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,37087,2026-09-14T11:25:21Z,0,37087,HEAD
4,github/github-mcp-server,github,https://github.com/github/github-mcp-server,32921,2026-09-14T11:25:20Z,0,32921,HEAD
5,feder-cr/AIHawk,github,https://github.com/feder-cr/AIHawk,31337,2026-09-14T11:30:42Z,0,31337,HEAD
6,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,27656,2026-09-14T10:12:03Z,0,27656,HEAD
7,activepieces/activepieces,github,https://github.com/activepieces/activepieces,24435,2026-09-14T11:24:32Z,0,24435,HEAD
8,Evil0ctal/Douyin_TikTok_Download_API,github,https://github.com/Evil0ctal/Douyin_TikTok_Download_API,20107,2026-09-14T10:52:09Z,0,20107,HEAD
9,t8y2/dbx,github,https://github.com/t8y2/dbx,19435,2026-09-14T11:27:23Z,0,19435,HEAD
10,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,16399,2026-09-14T09:18:54Z,0,16399,HEAD
11,MODSetter/SurfSense,github,https://github.com/MODSetter/SurfSense,16138,2026-09-14T06:59:02Z,0,16138,HEAD
12,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15848,2026-09-14T10:02:22Z,0,15848,HEAD
13,budtmo/docker-android,github,https://github.com/budtmo/docker-android,15845,2026-09-14T09:54:23Z,0,15845,HEAD
14,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,12408,2026-09-14T09:41:07Z,0,12408,HEAD
15,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,11864,2026-09-14T11:23:59Z,0,11864,HEAD
16,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11747,2026-09-14T08:57:10Z,0,11747,HEAD
17,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,10025,2026-09-14T09:14:56Z,0,10025,HEAD
18,awslabs/mcp,github,https://github.com/awslabs/mcp,9690,2026-09-14T05:42:46Z,0,9690,HEAD
19,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,9572,2026-09-14T08:20:19Z,0,9572,HEAD
20,xberg-io/xberg,github,https://github.com/xberg-io/xberg,9302,2026-09-14T08:41:46Z,0,9302,HEAD
