rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,28996,2026-03-16T07:09:09Z,0,28996,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,27922,2026-03-16T06:29:02Z,0,27922,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,23709,2026-03-16T07:01:17Z,0,23709,HEAD
4,oraios/serena,github,https://github.com/oraios/serena,21575,2026-03-16T07:03:49Z,0,21575,HEAD
5,activepieces/activepieces,github,https://github.com/activepieces/activepieces,21227,2026-03-16T06:31:41Z,0,21227,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,13706,2026-03-16T06:31:14Z,0,13706,HEAD
7,googleapis/genai-toolbox,github,https://github.com/googleapis/genai-toolbox,13422,2026-03-16T06:40:24Z,0,13422,HEAD
8,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11261,2026-03-16T07:10:04Z,0,11261,HEAD
9,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,10780,2026-03-16T05:58:40Z,0,10780,HEAD
10,awslabs/mcp,github,https://github.com/awslabs/mcp,8456,2026-03-15T06:15:13Z,0,8456,HEAD
11,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,7923,2026-03-16T06:49:07Z,0,7923,HEAD
12,idosal/git-mcp,github,https://github.com/idosal/git-mcp,7771,2026-03-16T07:09:43Z,0,7771,HEAD
13,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,7470,2026-03-16T06:39:34Z,0,7470,HEAD
14,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,6712,2026-03-16T07:01:45Z,0,6712,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6065,2026-03-16T06:46:10Z,0,6065,HEAD
16,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,5779,2026-03-16T04:50:50Z,0,5779,HEAD
17,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,5703,2026-03-16T06:29:05Z,0,5703,HEAD
18,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5410,2026-03-15T23:30:39Z,0,5410,HEAD
19,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,4750,2026-03-16T04:35:25Z,0,4750,HEAD
20,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4729,2026-03-14T20:30:06Z,0,4729,HEAD
21,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,4725,2026-03-16T06:46:49Z,0,4725,HEAD
22,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,4619,2026-03-16T04:04:15Z,0,4619,HEAD
23,u14app/deep-research,github,https://github.com/u14app/deep-research,4517,2026-03-16T05:43:04Z,0,4517,HEAD
24,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,4430,2026-03-16T04:05:08Z,0,4430,HEAD
25,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4052,2026-03-16T05:45:57Z,0,4052,HEAD
26,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4022,2026-03-16T06:20:54Z,0,4022,HEAD
27,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4011,2026-03-16T05:58:22Z,0,4011,HEAD
28,leerob/directories,github,https://github.com/leerob/directories,3915,2026-03-14T09:51:25Z,0,3915,HEAD
29,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,3821,2026-03-16T06:34:19Z,0,3821,HEAD
30,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3623,2026-03-16T01:39:50Z,0,3623,HEAD
31,opensumi/core,github,https://github.com/opensumi/core,3609,2026-03-12T14:55:38Z,0,3609,HEAD
32,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3536,2026-03-16T04:10:31Z,0,3536,HEAD
33,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3465,2026-03-16T06:45:53Z,0,3465,HEAD
34,laravel/boost,github,https://github.com/laravel/boost,3333,2026-03-16T00:13:21Z,0,3333,HEAD
35,browserbase/mcp-server-browserbase,github,https://github.com/browserbase/mcp-server-browserbase,3190,2026-03-16T01:34:23Z,0,3190,HEAD
36,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,3010,2026-03-15T23:50:59Z,0,3010,HEAD
37,punkpeye/fastmcp,github,https://github.com/punkpeye/fastmcp,2994,2026-03-16T03:38:19Z,0,2994,HEAD
38,steipete/Peekaboo,github,https://github.com/steipete/Peekaboo,2818,2026-03-16T06:39:38Z,0,2818,HEAD
39,Jpisnice/shadcn-ui-mcp-server,github,https://github.com/Jpisnice/shadcn-ui-mcp-server,2699,2026-03-15T14:38:07Z,0,2699,HEAD
40,grafana/mcp-grafana,github,https://github.com/grafana/mcp-grafana,2556,2026-03-16T07:07:50Z,0,2556,HEAD
41,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,2376,2026-03-16T06:03:28Z,0,2376,HEAD
42,blazickjp/arxiv-mcp-server,github,https://github.com/blazickjp/arxiv-mcp-server,2360,2026-03-16T04:42:26Z,0,2360,HEAD
43,bytebase/dbhub,github,https://github.com/bytebase/dbhub,2320,2026-03-16T03:51:50Z,0,2320,HEAD
44,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,2219,2026-03-16T06:19:03Z,0,2219,HEAD
45,brightdata/brightdata-mcp,github,https://github.com/brightdata/brightdata-mcp,2210,2026-03-16T02:02:56Z,0,2210,HEAD
46,jamubc/gemini-mcp-tool,github,https://github.com/jamubc/gemini-mcp-tool,2065,2026-03-16T03:31:00Z,0,2065,HEAD
47,AmoyLab/Unla,github,https://github.com/AmoyLab/Unla,2058,2026-03-14T11:20:37Z,0,2058,HEAD
48,cyberagiinc/DevDocs,github,https://github.com/cyberagiinc/DevDocs,2040,2026-03-16T02:58:07Z,0,2040,HEAD
49,perplexityai/modelcontextprotocol,github,https://github.com/perplexityai/modelcontextprotocol,2020,2026-03-16T06:48:24Z,0,2020,HEAD
50,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,1943,2026-03-16T06:51:49Z,0,1943,HEAD
