rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,headroomlabs-ai/headroom,github,https://github.com/headroomlabs-ai/headroom,46012,2026-06-22T11:43:07Z,0,46012,HEAD
2,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,34196,2026-06-22T10:20:21Z,0,34196,HEAD
3,github/github-mcp-server,github,https://github.com/github/github-mcp-server,30873,2026-06-22T11:19:48Z,0,30873,HEAD
4,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,25746,2026-06-22T11:28:17Z,0,25746,HEAD
5,activepieces/activepieces,github,https://github.com/activepieces/activepieces,22920,2026-06-22T11:25:24Z,0,22920,HEAD
6,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,15684,2026-06-22T10:30:53Z,0,15684,HEAD
7,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,15188,2026-06-22T10:33:04Z,0,15188,HEAD
8,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11971,2026-06-22T04:55:28Z,0,11971,HEAD
9,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11602,2026-06-21T08:38:25Z,0,11602,HEAD
10,DeusData/codebase-memory-mcp,github,https://github.com/DeusData/codebase-memory-mcp,10971,2026-06-22T11:39:48Z,0,10971,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,9812,2026-06-22T11:33:04Z,0,9812,HEAD
12,awslabs/mcp,github,https://github.com/awslabs/mcp,9317,2026-06-22T10:54:05Z,0,9317,HEAD
13,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,9310,2026-06-22T06:26:45Z,0,9310,HEAD
14,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,8521,2026-06-22T11:24:25Z,0,8521,HEAD
15,idosal/git-mcp,github,https://github.com/idosal/git-mcp,8197,2026-06-22T09:09:24Z,0,8197,HEAD
16,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7991,2026-06-22T04:47:57Z,0,7991,HEAD
17,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6713,2026-06-22T11:18:10Z,0,6713,HEAD
18,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6651,2026-06-22T06:18:23Z,0,6651,HEAD
19,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,6195,2026-06-22T06:52:03Z,0,6195,HEAD
20,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,6187,2026-06-22T10:25:44Z,0,6187,HEAD
21,google-labs-code/stitch-skills,github,https://github.com/google-labs-code/stitch-skills,6113,2026-06-22T11:23:58Z,0,6113,HEAD
22,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5958,2026-06-22T08:21:23Z,0,5958,HEAD
23,epiral/bb-browser,github,https://github.com/epiral/bb-browser,5844,2026-06-22T11:11:45Z,0,5844,HEAD
24,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5816,2026-06-22T08:47:48Z,0,5816,HEAD
25,kucherenko/jscpd,github,https://github.com/kucherenko/jscpd,5793,2026-06-22T10:30:56Z,0,5793,HEAD
26,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,5434,2026-06-22T10:48:00Z,0,5434,HEAD
27,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,5204,2026-06-22T11:27:50Z,0,5204,HEAD
28,FlorianBruniaux/claude-code-ultimate-guide,github,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,5146,2026-06-22T10:41:59Z,0,5146,HEAD
29,jacob-bd/notebooklm-mcp-cli,github,https://github.com/jacob-bd/notebooklm-mcp-cli,5005,2026-06-22T11:23:49Z,0,5005,HEAD
30,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4801,2026-06-19T20:13:17Z,0,4801,HEAD
31,openclaw/Peekaboo,github,https://github.com/openclaw/Peekaboo,4758,2026-06-22T11:32:41Z,0,4758,HEAD
32,u14app/deep-research,github,https://github.com/u14app/deep-research,4619,2026-06-22T09:24:53Z,0,4619,HEAD
